Description_Cluster;Count;Associated_Comment_Clusters
mit;631;aar(16)|0(14)|dans(12)|migr dans(12)|de(12)|non(12)|sup(12)|non sup(12)|migr(11)|r(11)
kalkausscheidungen;111;
vereinzelt im;0;
im oberen;0;
oberen bereich;0;
bereich mit;0;
systematisch;56;
auftretende;11;
zwangsrisse;125;quantifizierbar(4)|rissbreite(3)|0(3)|setzungen(2)|erkennbar(2)|aber(2)|nicht(2)|klar(2)|setzungen erkennbar(2)|erkennbar aber(2)
infolge;313;aber(4)|quantifizierbar(4)|wasser(3)|fundamentplatte(3)|die(3)|0(3)|setzungen(2)|erkennbar(2)|nicht(2)|klar(2)
schwinden;86;rissbreite(3)|0(3)|1(2)|mm(2)|max(1)|bis(1)|max rissbreite(1)|rissbreite bis(1)|bis 1(1)|1 mm(1)
3;658;dans(19)|migr dans(19)|de(19)|migr(18)|fissure(15)|caisson(13)|dans caisson(13)|suspicion(12)|fissures dues(8)|entretoise(7)
systematisch auftretende;0;
auftretende zwangsrisse;0;
zwangsrisse infolge;0;
infolge schwinden;0;
schwinden bis;0;
0 3;0;
3 mm;329;dans(19)|migr dans(19)|migr(18)|caisson(13)|dans caisson(13)|fissure(11)|de(11)|fissure de(8)|entretoise(7)|retrait(7)
leicht;139;hi(5)|hi 2024(5)|aus(4)|aus hi(4)|bernommen(3)|2024(3)|bernommen aus(2)|ngsrisse(2)|bis(2)|unterhalb(2)
zu;666;insgesamt(10)|bis(7)|und(7)|betr(6)|gt(6)|betr gt(6)|mm(5)|0(5)|setzungen(4)|quantifizierbar(4)
bis zu;0;
zu 0;0;
max;177;probablement(3)|suspicion(2)|ouverture(2)|de(1)|rag(1)|de rag(1)|fissure(1)|environ(1)|mi(1)|trav(1)
bis max;0;
