Cluster_Representative;Count;Variations;PerMille
entw sserung;53;entw sserung (32) | entw sserungs (21);0.16
infolge fr her;39;infolge fr her (19) | infolge wasser (20);0.12
ev infolge;63;ev infolge (10) | cm2 infolge (44) | che infolge (9);0.19
zahlreiche bis 100;18;zahlreiche bis 100 (9) | zahlreiche bis 100 cm2 (9);0.05
zahlreiche bis 100 cm2 mit;9;zahlreiche bis 100 cm2 mit (9);0.03
neben der;61;neben der (16) | stellen der (31) | gegen ber (7) | und an der (7);0.18
300 cm2 teils;35;300 cm2 teils (9) | 300 cm2 teils mit (8) | 200 cm2 teils (9) | 100 cm2 teils (9);0.1
teils mit korrodierter;164;teils mit korrodierter (62) | cm2 teils mit korrodierter (38) | chig mit korrodierter (64);0.49
teils mit korrodierter bewehrung;62;teils mit korrodierter bewehrung (62);0.18
bis 300 cm2 teils mit;23;bis 300 cm2 teils mit (7) | bis 200 cm2 teils mit (7) | bis 100 cm2 teils mit (9);0.07
300 cm2 teils mit korrodierter;21;300 cm2 teils mit korrodierter (7) | 200 cm2 teils mit korrodierter (7) | 100 cm2 teils mit korrodierter (7);0.06
stk schwindrisse bis;307;stk schwindrisse bis (71) | stk schwindrisse bis mm (66) | stk schwindriss bis mm (21) | stk schwindrisse teils (90) | stk schwindriss teils (12) | stk schwindrisse block (13) | stk schwindrisse pro (34);0.91
durch vorspannung;12;durch vorspannung (12);0.04
in arbeitsfuge;45;in arbeitsfuge (19) | bei arbeitsfugen (8) | von arbeitsfugen (10) | der arbeitsfuge (8);0.13
oder zwangsrisse;7;oder zwangsrisse (7);0.02
zwangsrisse durch;18;zwangsrisse durch (8) | zwangsrisse auf (10);0.05
zwangsrisse durch vorspannung;8;zwangsrisse durch vorspannung (8);0.02
alten kalkaussinterungen;36;alten kalkaussinterungen (10) | mit alten kalkaussinterungen (10) | leichten kalkaussinterungen (16);0.11
mechanische sch den;44;mechanische sch den (37) | mechanischer schaden (7);0.13
lokal abgel;25;lokal abgel (7) | lokale abl (10) | lokal lose (8);0.07
abgel st;143;abgel st (81) | abgel ste (23) | abgel stes (17) | an der st (13) | abgel ster (9);0.43
bord renfugen;8;bord renfugen (8);0.02
belag ca;35;belag ca (8) | total ca (7) | chig ca (11) | breite ca (9);0.1
ev flugrost;9;ev flugrost (9);0.03
sch den am;26;sch den am (13) | sch den an (13);0.08
den durch;48;den durch (15) | sch den durch (12) | den fugen (21);0.14
mehr sichtbar;27;mehr sichtbar (13) | nicht sichtbar (14);0.08
nicht mehr sichtbar;11;nicht mehr sichtbar (11);0.03
alte belagsentw;106;alte belagsentw (16) | und belagsentw (7) | kurze belagsentw (46) | bei belagsentw (10) | von belagsentw (27);0.32
belagsentw sserungen;126;belagsentw sserungen (55) | belagsentw sserung (63) | von belagsentw sserungen (8);0.38
alte belagsentw sserungen;14;alte belagsentw sserungen (14);0.04
betonabplatzung bis;79;betonabplatzung bis (17) | betonabplatzung bis 100 (8) | betonabplatzungen bis (36) | betonabplatzungen mit (18);0.24
mit betonabplatzung bis 100;16;mit betonabplatzung bis 100 (8) | mit betonabplatzung bis 100 cm2 (8);0.05
betonabplatzung bis 100 cm2;24;betonabplatzung bis 100 cm2 (8) | mit abplatzung bis 100 cm2 (9) | betonabplatzungen bis 200 cm2 (7);0.07
aus bauzeit;194;aus bauzeit (173) | ev aus bauzeit (14) | aus zeit (7);0.58
wasser von;97;wasser von (45) | wasserl ufe (16) | wasser aus (18) | wasser von fb (10) | wasser uft (8);0.29
stk undichte bindstellen;28;stk undichte bindstellen (28);0.08
evtl alte nassstelle;43;evtl alte nassstelle (43);0.13
evtl alte nassstelle jetzt;43;evtl alte nassstelle jetzt (43);0.13
evtl alte nassstelle jetzt trocken;43;evtl alte nassstelle jetzt trocken (43);0.13
abl sungen der;28;abl sungen der (28);0.08
stk bindstellen;8;stk bindstellen (8);0.02
bis mm teils;77;bis mm teils (23) | bis mm teils mit (23) | risse teils (18) | bis mm rissl (13);0.23
schwindrisse bis mm teils;63;schwindrisse bis mm teils (18) | schwindrisse bis mm teils mit (18) | stk schwindrisse bis mm teils (13) | schwindrisse bis mm mit (14);0.19
bis mm teils mit kalkaussinterungen;46;bis mm teils mit kalkaussinterungen (22) | bis mm mit kalkaussinterungen (24);0.14
mm versatz;8;mm versatz (8);0.02
mit freiliegender;63;mit freiliegender (63);0.19
freiliegender bewehrung;136;freiliegender bewehrung (48) | mit freiliegender bewehrung (38) | freiliegender bewehrung ca (14) | freiliegende bewehrung (25) | freiliegender bewehrung bis (11);0.41
vertikal und;9;vertikal und (9);0.03
leicht wasserf;69;leicht wasserf (13) | teils wasserf (56);0.21
mm mit kalkaussinterungen;112;mm mit kalkaussinterungen (26) | stk mit kalkaussinterungen (31) | cm2 mit kalkaussinterungen (8) | af mit kalkaussinterungen (18) | m2 mit kalkaussinterungen (13) | ca m2 mit kalkaussinterungen (9) | cm mit kalkaussinterungen (7);0.33
mit leichtem;76;mit leichtem (10) | mit leichten (48) | mit leichter (9) | nur leichte (9);0.23
infolge holzeinlage;49;infolge holzeinlage (29) | cm2 infolge holzeinlage (20);0.15
bewehrung mechanische;20;bewehrung mechanische (20);0.06
korrodierter bewehrung mechanische;60;korrodierter bewehrung mechanische (20) | mit korrodierter bewehrung mechanische (20) | korrodierter bewehrung mechanische besch (20);0.18
bewehrung mechanische besch;20;bewehrung mechanische besch (20);0.06
bewehrung mechanische besch digung;19;bewehrung mechanische besch digung (19);0.06
cm2 mit korrodierter bewehrung mechanische;14;cm2 mit korrodierter bewehrung mechanische (14);0.04
mit korrodierter bewehrung mechanische besch;20;mit korrodierter bewehrung mechanische besch (20);0.06
korrodierter bewehrung mechanische besch digung;19;korrodierter bewehrung mechanische besch digung (19);0.06
bewehrung infolge;42;bewehrung infolge (42);0.13
korrodierter bewehrung infolge;64;korrodierter bewehrung infolge (32) | mit korrodierter bewehrung infolge (32);0.19
infolge zw ngung;9;infolge zw ngung (9);0.03
cm2 mit korrodierter bewehrung infolge;24;cm2 mit korrodierter bewehrung infolge (24);0.07
bei fugen;41;bei fugen (7) | und fugen (7) | in fugen (11) | bei einem (9) | des fugenm (7);0.12
schwindriss bis mm mit;18;schwindriss bis mm mit (9) | stk schwindriss bis mm mit (9);0.05
evtl mechanische besch;18;evtl mechanische besch (7) | teils mechanische besch (11);0.05
risse im belag;11;risse im belag (11);0.03
riss entlang;17;riss entlang (7) | risse entlang (10);0.05
abplatzung ca;42;abplatzung ca (24) | abplatzung durch (7) | abplatzung an (11);0.13
neuer belag;7;neuer belag (7);0.02
geh rt zu;32;geh rt zu (25) | rohre zu (7);0.1
che teils;174;che teils (109) | m2 teils (8) | cm teils (11) | hte teils (8) | fugen teils (16) | farbe teils (15) | che verteilt (7);0.52
teils kleine;12;teils kleine (12);0.04
oberfl che teils;185;oberfl che teils (100) | oberfl che teils mit (85);0.55
che teils mit kornausbr;145;che teils mit kornausbr (73) | che teils mit kornausbr chen (72);0.43
verwitterte oberfl che teils mit;84;verwitterte oberfl che teils mit (84);0.25
oberfl che teils mit kornausbr;71;oberfl che teils mit kornausbr (71);0.21
teils verpresst;12;teils verpresst (12);0.04
flanken teils mit;46;flanken teils mit (37) | fugen teils mit (9);0.14
flanken teils mit bewuchs;48;flanken teils mit bewuchs (25) | der flanken teils mit bewuchs (23);0.14
sung der flanken teils mit;30;sung der flanken teils mit (30);0.09
chliche korrosionsspuren;7;chliche korrosionsspuren (7);0.02
oberfl chliche korrosionsspuren;7;oberfl chliche korrosionsspuren (7);0.02
avec une;41;avec une (7) | avec ts (13) | avec ts de (12) | avec le (9);0.12
une paisseur;7;une paisseur (7);0.02
fissures de rag;41;fissures de rag (41);0.12
rag fissures;63;rag fissures (13) | de rag fissures (13) | rag fissures de (7) | de fissures (14) | es fissures (8) | des fissures (8);0.19
fissures jusqu;75;fissures jusqu (8) | fissures jusqu mm (8) | fissures sup (42) | fissures dues (17);0.22
fissures de rag fissures;20;fissures de rag fissures (13) | fissures de rag fissures de (7);0.06
rag jusqu;14;rag jusqu (7) | de rag jusqu (7);0.04
fissures de rag jusqu;7;fissures de rag jusqu (7);0.02
mehrere korrodierte;54;mehrere korrodierte (54);0.16
ursache unklar;7;ursache unklar (7);0.02
ausf hrungsbedingt;8;ausf hrungsbedingt (8);0.02
mehrere korrodierte bewehrungsst;126;mehrere korrodierte bewehrungsst (49) | mehrere korrodierte bewehrungsst be (49) | mehrere korrodierte bewehrungsst be mit (28);0.38
korrodierte bewehrungsst be mit;119;korrodierte bewehrungsst be mit (92) | korrodierte bewehrungsst be teils (15) | korrodierte bewehrungsst be teils mit (12);0.35
bewehrungsst be mit abplatzungen;121;bewehrungsst be mit abplatzungen (62) | bewehrungsst be mit abplatzungen bis (24) | bewehrungsst be mit betonabplatzungen (12) | bewehrungsst be teils mit abplatzungen (8) | bewehrungsstab mit abplatzungen (8) | bewehrungsstab mit abplatzung (7);0.36
korrodierte bewehrungsst be mit abplatzungen;89;korrodierte bewehrungsst be mit abplatzungen (61) | korrodierte bewehrungsst be mit betonabplatzungen (12) | korrodierter bewehrungsstab mit abplatzungen (8) | stk korrodierter bewehrungsstab mit abplatzungen (8);0.27
stk korrodierte bewehrungsst;329;stk korrodierte bewehrungsst (160) | stk korrodierte bewehrungsst be (160) | je stk korrodierter bewehrungsstab (9);0.98
mit abplatzungen bis 300 cm2;25;mit abplatzungen bis 300 cm2 (7) | mit abplatzungen bis 50 cm2 (18);0.07
schrauben leicht;8;schrauben leicht (8);0.02
bewehrung ca;96;bewehrung ca (28) | bewehrung an (11) | bewehrung zw (11) | bewehrung bis ca (21) | bewehrung von (15) | bewehrung und (10);0.29
abplatzung mit freiliegender;44;abplatzung mit freiliegender (19) | abplatzungen mit freiliegender (25);0.13
einzelne abplatzung mit freiliegender;11;einzelne abplatzung mit freiliegender (11);0.03
abplatzung mit freiliegender bewehrung;48;abplatzung mit freiliegender bewehrung (16) | abplatzung mit freiliegender bewehrung ca (12) | abplatzungen mit freiliegender bewehrung (13) | abplatzungen mit freiliegender bewehrung bis (7);0.14
mit freiliegender bewehrung ca;35;mit freiliegender bewehrung ca (13) | mit freiliegender bewehrung bis (11) | mit freiliegender bewehrung bis ca (11);0.1
einzelne abplatzung mit freiliegender bewehrung;11;einzelne abplatzung mit freiliegender bewehrung (11);0.03
stahltr ger;8;stahltr ger (8);0.02
der oberfl;121;der oberfl (25) | der obersten (27) | auf der oberfl (11) | an oberfl (22) | der unterf (8) | nur oberfl (12) | an der oberfl (8) | der wandfl (8);0.36
betonoberfl che infolge;14;betonoberfl che infolge (7) | der betonoberfl che infolge (7);0.04
mit starken;16;mit starken (8) | ist stark (8);0.05
am boden;36;am boden (12) | cm offen (7) | fb oder (7) | an allen (10);0.11
anschluss an;14;anschluss an (14);0.04
kalkaussinterungen wasserf;30;kalkaussinterungen wasserf (16) | mit kalkaussinterungen wasserf (14);0.09
kalkaussinterungen wasserf hrend;29;kalkaussinterungen wasserf hrend (15) | mit kalkaussinterungen wasserf hrend (14);0.09
bewehrung mit kalkaussinterungen;8;bewehrung mit kalkaussinterungen (8);0.02
korrodierter bewehrung mit kalkaussinterungen;15;korrodierter bewehrung mit kalkaussinterungen (8) | mit korrodierter bewehrung mit kalkaussinterungen (7);0.04
kalkaussinterungen und rostflecken;89;kalkaussinterungen und rostflecken (20) | mit kalkaussinterungen und rostflecken (20) | kalkaussinterungen mit rostflecken (49);0.27
grossfl chig teils;12;grossfl chig teils (12);0.04
teils stark;20;teils stark (20);0.06
infolge wasser von;10;infolge wasser von (10);0.03
teils mit rostflecken;118;teils mit rostflecken (118);0.35
kalkaussinterungen teils mit rostflecken;78;kalkaussinterungen teils mit rostflecken (25) | mit kalkaussinterungen teils mit rostflecken (25) | kalkaussinterung teils mit rostflecken (14) | mit kalkaussinterung teils mit rostflecken (14);0.23
infolge mechanischer;14;infolge mechanischer (14);0.04
mechanischer einwirkung;16;mechanischer einwirkung (16);0.05
infolge mechanischer einwirkung;14;infolge mechanischer einwirkung (14);0.04
wurden ersetzt;17;wurden ersetzt (7) | wurde ersetzt (10);0.05
leichte risse;44;leichte risse (15) | leichte risse in (10) | leicht gerissen (7) | leichte besch (12);0.13
risse in den;134;risse in den (63) | risse auf der (49) | risse an der (10) | risse in der (12);0.4
verzinkung ist;45;verzinkung ist (29) | verzinkung auf (8) | verzinkung mit (8);0.13
abgewittert mit;67;abgewittert mit (41) | ist abgewittert mit (26);0.2
oberfl chenwasser;8;oberfl chenwasser (8);0.02
chliche korrosion;106;chliche korrosion (55) | chige korrosion (25) | leichte korrosion (19) | chliche korrosion an (7);0.32
abbl ttern;30;abbl ttern (12) | abbl tterungen (11) | bl ttert (7);0.09
oberfl chliche korrosion;76;oberfl chliche korrosion (55) | oberfl chliche korrosion an (7) | oberfl chige korrosion (14);0.23
fugenm rtel;23;fugenm rtel (16) | fugenm rtels (7);0.07
an mehreren;60;an mehreren (50) | ber mehrere (10);0.18
risse infolge;30;risse infolge (21) | risse infolge aar (9);0.09
spr de und;46;spr de und (38) | steine und (8);0.14
nicht verschlossen;11;nicht verschlossen (11);0.03
verlaufende risse;10;verlaufende risse (10);0.03
risse bis ca;193;risse bis ca (68) | risse bis ca mm (61) | rissl nge ca (14) | nge bis ca (14) | rissl nge bis ca (10) | risse bis mm (15) | riss bis mm (11);0.58
risse bis ca mm breite;41;risse bis ca mm breite (15) | risse bis ca mm rissbreite (26);0.12
der mauerkrone;262;der mauerkrone (149) | auf der mauerkrone (65) | an der mauerkrone (18) | ber der mauerkrone (11) | der mauerkrone und (9) | auf mauerkrone (10);0.78
netzartige aar;47;netzartige aar (47);0.14
entlang der;84;entlang der (72) | entlang des (12);0.25
netzartige aar risse;190;netzartige aar risse (35) | netzartige risse (130) | netzartige aar risse auf (25);0.57
risse entlang der;9;risse entlang der (9);0.03
entlang der mauerkrone;21;entlang der mauerkrone (21);0.06
de carbonate;79;de carbonate (28) | ts de carbonate (27) | de carbonate de (24);0.24
carbonate de;24;carbonate de (24);0.07
de calcium;33;de calcium (24) | de calcite (9);0.1
carbonate de calcium;48;carbonate de calcium (24) | de carbonate de calcium (24);0.14
ts de carbonate de;24;ts de carbonate de (24);0.07
ts de carbonate de calcium;24;ts de carbonate de calcium (24);0.07
starker bewuchs;25;starker bewuchs (25);0.07
retrait fissures;77;retrait fissures (27) | de retrait fissures (27) | retrait fissures sup (23);0.23
sup rieures;170;sup rieures (53) | sup rieures mm (50) | inf rieure (43) | sup rieure (17) | sup rieure mm (7);0.51
fissures de retrait;41;fissures de retrait (34) | rag fissures de retrait (7);0.12
fissures sup rieures;83;fissures sup rieures (42) | fissures sup rieures mm (41);0.25
de rag fissures de;7;de rag fissures de (7);0.02
fissures de retrait fissures;57;fissures de retrait fissures (27) | rag fissures de retrait fissures (7) | fissures de retrait fissures sup (23);0.17
de retrait fissures sup;23;de retrait fissures sup (23);0.07
retrait fissures sup rieures;69;retrait fissures sup rieures (23) | de retrait fissures sup rieures (23) | retrait fissures sup rieures mm (23);0.21
de rag fissures de retrait;7;de rag fissures de retrait (7);0.02
la largeur;105;la largeur (9) | la longueur (12) | de largeur (56) | la hauteur (28);0.31
rieures mm sur;28;rieures mm sur (10) | sup rieures mm sur (10) | rieures mm et (8);0.08
mm sur toute;14;mm sur toute (7) | mm sur toute la (7);0.04
sur toute la;39;sur toute la (39);0.12
rieures mm sur toute;21;rieures mm sur toute (7) | sup rieures mm sur toute (7) | rieures mm sur toute la (7);0.06
fissures sup rieures mm sur;10;fissures sup rieures mm sur (10);0.03
mm teilweise mit;12;mm teilweise mit (12);0.04
teilweise mit aussinterungen;13;teilweise mit aussinterungen (13);0.04
gerissene rtelfugen;14;gerissene rtelfugen (14);0.04
mit kalkausscheidungen;67;mit kalkausscheidungen (50) | mit kalkausscheidungen und (9) | und kalkausscheidungen (8);0.2
kalkausscheidungen und;70;kalkausscheidungen und (11) | kalkausscheidungen an (16) | kalkausscheidungen aus (12) | kalkausscheidungen bei (7) | kalkausscheidungen in (13) | kalkausscheidungen in den (11);0.21
infolge frosteinwirkung;10;infolge frosteinwirkung (10);0.03
teilweise mit kalkausscheidungen;13;teilweise mit kalkausscheidungen (13);0.04
hschwindrisse teils;46;hschwindrisse teils (15) | fr hschwindrisse teils (15) | schwindriss teils (16);0.14
moos leicht;15;moos leicht (15);0.04
undichter fahrbahn;147;undichter fahrbahn (120) | undichtem fahrbahn (27);0.44
fahrbahn bergang;170;fahrbahn bergang (162) | fahrbahn bergang mit (8);0.51
undichter fahrbahn bergang;154;undichter fahrbahn bergang (120) | undichter fahrbahn bergang mit (7) | undichtem fahrbahn bergang (27);0.46
teils mit rostspuren;9;teils mit rostspuren (9);0.03
untersp lt;8;untersp lt (8);0.02
abl sung der flanke;70;abl sung der flanke (19) | abl sung an flanken (41) | abl sung der farbe (10);0.21
teils wasserf hrend;67;teils wasserf hrend (55) | leicht wasserf hrend (12);0.2
wasserf hrend teils;29;wasserf hrend teils (15) | wasserf hrend teils mit (14);0.09
hrend teils mit;117;hrend teils mit (14) | mehrere teils mit (79) | chen teils mit (11) | frost teils mit (13);0.35
teils wasserf hrend teils;23;teils wasserf hrend teils (12) | teils wasserf hrend teils mit (11);0.07
fuge wasserf;42;fuge wasserf (10) | fugen wasserf (8) | wegen wasser (17) | stk wasserf (7);0.13
undichte fuge wasserf;14;undichte fuge wasserf (7) | undichte fugen wasserf (7);0.04
fuge wasserf hrend;18;fuge wasserf hrend (10) | fugen wasserf hrend (8);0.05
undichte fuge wasserf hrend;14;undichte fuge wasserf hrend (7) | undichte fugen wasserf hrend (7);0.04
une protection de;22;une protection de (22);0.07
de surface sur;31;de surface sur (18) | de surface de (13);0.09
surface sur env;10;surface sur env (10);0.03
sur env de;22;sur env de (8) | surface de (14);0.07
env de hauteur;15;env de hauteur (8) | 80 de hauteur (7);0.04
application une protection de;22;application une protection de (22);0.07
une protection de surface;22;une protection de surface (22);0.07
protection de surface sur;18;protection de surface sur (18);0.05
de surface sur env de;8;de surface sur env de (8);0.02
ages localis et;12;ages localis et (12);0.04
et application une;9;et application une (9);0.03
ragr ages localis et;12;ragr ages localis et (12);0.04
et application une protection;9;et application une protection (9);0.03
moos str;26;moos str (10) | moos und str (7) | moos efeu (9);0.08
moos str ucher;17;moos str ucher (10) | moos und str ucher (7);0.05
und abstandhalter;182;und abstandhalter (91) | hte und abstandhalter (84) | gel und abstandhalter (7);0.54
mehrere kleine binddr;133;mehrere kleine binddr (62) | mehrere kleine binddr hte (62) | mehrere kleine gel binddr (9);0.4
kleine binddr hte und;76;kleine binddr hte und (55) | kleine binddr hte und gel (9) | kleine binddr hte gel (12);0.23
